,image_name,category_labels
0,0.jpg,"['3D art', 'NFT art', 'Photography']"
1,1.png,"['3D art', 'NFT art', 'Photography']"
2,2.jpg,"['3D art', 'NFT art', 'Photography']"
3,3.png,"['3D art', 'NFT art', 'Photography']"
4,4.png,"['3D art', 'NFT art', 'Photography']"
5,5.avif,"['3D art', 'NFT art', 'Photography']"
6,6.avif,"['3D art', 'NFT art', 'Photography']"
7,7.avif,"['3D art', 'NFT art', 'Photography']"
8,8.avif,"['3D art', 'Animation', 'Digital art', 'Filmmaking', 'Graphic design', 'Performance art', 'Video editing', 'Videography']"
9,9.avif,"['3D art', 'Animation', 'Digital art', 'Filmmaking', 'Graphic design', 'Performance art', 'Video editing', 'Videography']"
10,10.jpg,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Illustration', 'Sculpture', 'Video art']"
11,11.avif,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Illustration', 'Sculpture', 'Video art']"
12,12.avif,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Illustration', 'Sculpture', 'Video art']"
13,13.jpg,"['3D art', 'Animation', 'Digital art', 'Installation art', 'NFT art', 'Photography']"
14,14.jpg,"['3D art', 'Animation', 'Digital art', 'Installation art', 'NFT art', 'Photography']"
15,15.jpg,"['3D art', 'Animation', 'Digital art', 'Installation art', 'NFT art', 'Photography']"
16,16.jpg,"['3D art', 'Animation', 'Digital art', 'Installation art', 'NFT art', 'Photography']"
17,17.jpg,"['3D art', 'Animation', 'Digital art', 'Installation art', 'NFT art', 'Photography']"
18,18.avif,"['3D art', 'Animation', 'Digital art', 'Installation art', 'NFT art', 'Photography']"
19,19.avif,"['3D art', 'Animation', 'Digital art', 'Installation art', 'NFT art', 'Photography']"
20,20.avif,"['3D art', 'Animation', 'Digital art', 'Installation art', 'NFT art', 'Photography']"
21,21.avif,"['3D art', 'Architecture', 'NFT art', 'Photography', 'Pottery and ceramics', 'Virtual reality']"
22,22.avif,"['3D art', 'Architecture', 'NFT art', 'Photography', 'Pottery and ceramics', 'Virtual reality']"
23,23.avif,"['3D art', 'Architecture', 'NFT art', 'Photography', 'Pottery and ceramics', 'Virtual reality']"
24,24.avif,['3D art']
25,25.avif,['3D art']
26,26.avif,['3D art']
27,27.avif,"['3D art', 'Conceptual art', 'NFT art']"
28,28.avif,"['3D art', 'Animation', 'Digital art', 'Filmmaking', 'Music composition', 'Singing', 'Video art']"
