,username,category_labels
0,amirkarimi,"['3D art', 'Animation', 'Architecture', 'Conceptual art', 'NFT art']"
1,raphaelerba,"['3D art', 'Animation']"
2,setshb,"['3D art', 'Animation', 'Digital art', 'Modelling', 'Motion design', 'NFT art']"
3,artvisionnft,"['3D art', 'NFT art', 'Photography']"
4,motionsickness,"['3D art', 'Abstract art', 'Animation', 'Digital art', 'Graphic design', 'Video art']"
5,mattbag3d,"['3D art', 'Animation', 'Illustration', 'Modelling', 'NFT art', 'Sculpture']"
6,mej,"['3D art', 'Animation', 'Digital art', 'Filmmaking', 'Graphic design', 'Performance art', 'Video editing', 'Videography']"
7,filoo,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Illustration', 'Sculpture', 'Video art']"
8,pixeloush,"['3D art', 'Animation', 'Digital art', 'Installation art', 'NFT art', 'Photography']"
9,odysseyoftheheart,"['3D art', 'Architecture', 'NFT art', 'Photography', 'Pottery and ceramics', 'Virtual reality']"
10,pierrebenjamin,"['3D art', 'Painting']"
11,nftcargirl,['3D art']
12,freter,"['3D art', 'Conceptual art', 'NFT art']"
13,andrebius,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Game design', 'Graphic design', 'Illustration', 'NFT art', 'Video editing']"
14,coriot,"['3D art', 'Animation', 'Conceptual art', 'Drawing', 'Illustration', 'NFT art']"
15,tomato,"['3D art', 'Abstract art', 'Animation', 'Digital art', 'NFT art']"
16,gass,"['3D art', 'Animation', 'Digital art', 'Filmmaking', 'Music composition', 'Singing', 'Video art']"
17,blancolozano,"['3D art', 'Abstract art', 'Digital art', 'NFT art', 'Painting']"
18,shonamcdermott,"['3D art', 'Digital art', 'NFT art']"
19,studioriva,"['3D art', 'Digital art', 'Illustration', 'Sculpture', 'Woodwork']"
20,designnina,['3D art']
21,martisha_merems,"['3D art', 'Animation', 'Digital art', 'NFT art']"
22,adolfochs,"['3D art', 'Abstract art', 'Digital art', 'Painting']"
23,ijlalaslam,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Photography']"
24,nogohnguyen,"['3D art', 'Illustration']"
25,mbsjq,"['3D art', 'Abstract art', 'Collage', 'Graphic design', 'Illustration']"
26,jikjix,"['3D art', 'Digital art', 'Fashion', 'NFT art', 'Nude art']"
27,bluntaction,['3D art']
28,shavonnewong,"['3D art', 'Animation', 'NFT art']"
29,hanneshummel,"['3D art', 'Animation', 'Digital art', 'Digital art', 'Filmmaking', 'Motion design', 'NFT art', 'Sound sculpting']"
30,pw_nft,"['3D art', 'Animation', 'NFT art']"
31,visualsofazmat,"['3D art', 'Conceptual art', 'Digital art', 'Digital art', 'Graphic design', 'Illustration', 'NFT art', 'Painting']"
32,stephanduq,"['3D art', 'Animation', 'Digital art', 'Digital art', 'Illustration', 'NFT art', 'Nude art']"
33,tyronejkd,"['3D art', 'Abstract art', 'Digital art', 'Digital art']"
34,milkorva,"['3D art', 'Abstract art', 'Digital art', 'Installation art', 'Performance art']"
35,warrragwag,"['3D art', 'Animation', 'Architecture', 'Game design', 'NFT art', 'Painting', 'Video art', 'Virtual reality']"
36,vmenons,"['3D art', 'Animation', 'Digital art', 'Illustration']"
37,unknownbeing,['3D art']
38,shoneec,"['3D art', 'Abstract art']"
39,glitchofmind,"['3D art', 'Fashion', 'NFT art', 'Photography']"
40,parsamostaghim,"['3D art', 'Animation', 'Music composition', 'Painting']"
41,erenarik,"['3D art', 'Conceptual art', 'Digital art', 'Illustration', 'NFT art', 'Video art']"
42,vesper,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Modelling', 'Music composition', 'Music production', 'NFT art', 'Photography', 'Video art']"
43,boxhead,"['3D art', 'Animation', 'Digital art', 'Fashion', 'Illustration', 'Installation art', 'Motion design', 'Mural', 'NFT art', 'Street art']"
44,bezmiar,"['3D art', 'Animation', 'Collage', 'Music composition', 'Music production', 'NFT art']"
45,brokendoodle,['3D art']
46,iamcfw,"['3D art', 'Collage', 'Digital art', 'Graffiti', 'Illustration', 'Motion design', 'NFT art']"
47,parrott,"['3D art', 'Digital art', 'Music production', 'NFT art']"
48,ganesh,"['3D art', 'Architecture', 'Digital art', 'Graphic design']"
49,ivoc,"['3D art', 'Digital art', 'Sculpture']"
50,nenado666,"['3D art', 'Animation', 'Digital art', 'Motion design', 'NFT art', 'Photography']"
51,cinthiaponce,"['3D art', 'Abstract art', 'Animation', 'Conceptual art', 'Illustration']"
52,hamedaziziart,"['3D art', 'Animation', 'Digital art', 'Filmmaking', 'Motion design', 'NFT art', 'Video art']"
53,shahrokh,"['3D art', 'Animation', 'Architecture', 'Conceptual art', 'Digital art', 'Graphic design', 'Illustration', 'Photography']"
54,chewingnft_eth,"['3D art', 'Animation']"
55,samiravoxelart,['3D art']
56,arjunkamal,"['3D art', 'Abstract art', 'Animation', 'Digital art', 'Motion design', 'NFT art', 'Video art']"
57,aia,"['3D art', 'Animation', 'Digital art', 'Land art', 'NFT art', 'Photography']"
58,jwon_nfts,"['3D art', 'Acting', 'Animation', 'Body art', 'NFT art']"
59,piransi,"['3D art', 'Animation', 'Digital art', 'NFT art', 'Painting', 'Photography', 'Video art']"
60,momo1,"['3D art', 'NFT art']"
61,nima,"['3D art', 'Abstract art', 'Digital art', 'Graphic design', 'NFT art', 'UI design', 'UX design']"
62,hoxid,"['3D art', 'Abstract art', 'Animation', 'Music composition', 'Music production']"
63,txrek,"['3D art', 'Abstract art', 'Animation', 'Digital art', 'NFT art', 'Video art', 'Video editing']"
