,post_url,category_labels
0,https://directory.art/artist/amirkarimi/post/16dfd6d6a932ce49ceabae91090b8ee761/,"['3D art', 'Animation', 'Architecture', 'Conceptual art', 'NFT art']"
1,https://directory.art/artist/amirkarimi/post/163d4e54640b08438792c2e9c6407f9b03/,"['3D art', 'Animation', 'Architecture', 'Conceptual art', 'NFT art']"
2,https://directory.art/artist/amirkarimi/post/16995cf81940584eae867dbb9e7602ae6a/,"['3D art', 'Animation', 'Architecture', 'Conceptual art', 'NFT art']"
3,https://directory.art/artist/amirkarimi/post/1651eb1a6e44cc4cf3a1670dc83d404122/,"['3D art', 'Animation', 'Architecture', 'Conceptual art', 'NFT art']"
4,https://directory.art/artist/amirkarimi/post/1695b094b90c054bf5a577352436ae8941/,"['3D art', 'Animation', 'Architecture', 'Conceptual art', 'NFT art']"
5,https://directory.art/artist/amirkarimi/post/16aa5ee160a8ff4fb89f93a7ede6eadb35/,"['3D art', 'Animation', 'Architecture', 'Conceptual art', 'NFT art']"
6,https://directory.art/artist/amirkarimi/post/16e1eadb661e57402d8836232192054295/,"['3D art', 'Animation', 'Architecture', 'Conceptual art', 'NFT art']"
7,https://directory.art/artist/amirkarimi/post/164647e1f6ba3b424ca95134f872071c5c/,"['3D art', 'Animation', 'Architecture', 'Conceptual art', 'NFT art']"
8,https://directory.art/artist/raphaelerba/post/208cfc8d7aba884e858c2935418afc9d9a/,"['3D art', 'Animation']"
9,https://directory.art/artist/raphaelerba/post/2075818a788ee5469ab331114d3009a794/,"['3D art', 'Animation']"
10,https://directory.art/artist/raphaelerba/post/20d677ea024885406e930b1a1aa796b54f/,"['3D art', 'Animation']"
11,https://directory.art/artist/raphaelerba/post/2046fd31ef65ba4f7babe22c911b78ca49/,"['3D art', 'Animation']"
12,https://directory.art/artist/raphaelerba/post/205c058ef3b1d0462986fd6bee05b74c18/,"['3D art', 'Animation']"
13,https://directory.art/artist/setshb/post/26bb8acf9cb5254001bd8b39baa96cd213/,"['3D art', 'Animation', 'Digital art', 'Modelling', 'Motion design', 'NFT art']"
